fxdj,gmbz,cplx,xsjz,xsqs,tzfw,cpmc,tzqx,sylx,fxyh,fxdq,yqsy,kfsh,qsje
固定收益型,网上，手机，PAD，网点,,2016-03-30 10:00,招银进宝系列,,金葵花增利系列188号理财计划-北京分行销售,84,,招商银行,,2016-06-29,,
固定收益型,网上，手机，PAD，网点,,2016-03-31 10:00,招银进宝系列,,鼎鼎成金960098号理财计划,,2.25%,招商银行,,2017-04-06,,
固定收益型,网上，手机，PAD，网点,,2016-04-22 10:00,招银进宝系列,,金葵花增利系列216号理财计划,,,招商银行,,2016-10-21,,
固定收益型,网上，手机，PAD，网点,,2016-03-31 10:00,招银进宝系列,,鼎鼎成金14852号理财计划-太原分行销售,146,4.50％,招商银行,,2016-09-01,,
浮动收益型,网上，手机，PAD，网点,,2016-03-31 10:00,焦点联动系列,,布伦特原油（SPGCBRP INDEX）表现联动（布伦特原油（SPGCBRP INDEX）向下触碰型）非保本理财计划,,,招商银行,,2016-06-30,,
固定收益型,网上，手机，PAD，网点,,2016-03-31 10:00,招银进宝系列,,鼎鼎成金14760号理财计划-苏州分行销售,84,4.40％,招商银行,,2016-07-01,,
固定收益型,网上，手机，PAD，网点,,2016-03-31 10:00,招银进宝系列,,鼎鼎成金14734号理财计划-长沙分行销售,96,4.30％,招商银行,,2016-07-11,,
固定收益型,网上，手机，PAD，网点,,2016-04-01 10:00,招银进宝系列,,鼎鼎成金14987号理财计划-长沙分行销售,34,4.20％,招商银行,,2016-05-12,,
固定收益型,网上，手机，PAD，网点,,2016-04-01 10:00,招银进宝系列,,私人增利系列73号理财计划,,4.2%,招商银行,,2016-05-26,,
固定收益型,网上，手机，PAD，网点,,2016-04-01 10:00,招银进宝系列,,鼎鼎成金14874号理财计划-杭州分行销售,84,4.40％,招商银行,,2016-07-01,,
浮动收益型,网上，手机，PAD，网点,,2016-03-31 10:00,焦点联动系列,,布伦特原油（SPGCBRP INDEX）表现联动（布伦特原油（SPGCBRP INDEX）向上触碰型）非保本理财计划,,,招商银行,,2016-06-30,,
固定收益型,网上，手机，PAD，网点,,2016-04-01 10:00,招银进宝系列,,鼎鼎成金14715号理财计划-武汉分行销售,39,4.30％,招商银行,,2016-05-20,,
固定收益型,网上，手机，PAD，网点,,2016-04-01 10:00,招银进宝系列,,私人增利系列74号理财计划,,4.4%,招商银行,,2016-09-26,,
固定收益型,网上，手机，PAD，网点,,2016-03-31 10:00,招银进宝系列,,金葵花增利系列192号理财计划,,,招商银行,,2016-06-24,,
浮动收益型,网上，手机，PAD，网点,,2016-04-05 10:00,A009 结构性存款系列,,挂钩黄金两层区间六个月结构性存款,,,招商银行,,2016-10-10,,
浮动收益型,网上，手机，PAD，网点,,2016-04-05 10:00,A009 结构性存款系列,,挂钩黄金两层区间十二个月结构性存款,,,招商银行,,2017-04-07,,
固定收益型,网上，手机，PAD，网点,,2016-04-05 10:00,招银进宝系列,,鼎鼎成金14887号理财计划-南宁分行销售,143,4.40％,招商银行,,2016-08-29,,
浮动收益型,网上，手机，PAD，网点,,2016-04-05 10:00,A009 结构性存款系列,,挂钩黄金两层区间三个月结构性存款,,,招商银行,,2016-07-06,,
固定收益型,网上，手机，PAD，网点,,2016-04-01 10:00,招银进宝系列,,私人增利系列76号理财计划,,4.4%,招商银行,,2016-07-01,,
固定收益型,网上，手机，PAD，网点,,2016-04-05 10:00,招银进宝系列,,鼎鼎成金14937号理财计划-天津、深圳分行销售,90,4.40％,招商银行,,2016-07-11,,
固定收益型,网上，手机，PAD，网点,,2016-04-05 10:00,招银进宝系列,,鼎鼎成金14842号理财计划-成都分行销售,37,4.30％,招商银行,,2016-05-18,,
固定收益型,网上，手机，PAD，网点,,2016-04-06 10:00,招银进宝系列,,美元鼎鼎成金0303号理财计划,,2.15％,招商银行,,2017-04-13,,
固定收益型,网上，手机，PAD，网点,,2016-04-05 10:00,招银进宝系列,,鼎鼎成金14892号理财计划-南宁分行销售,237,4.55％,招商银行,,2016-12-01,,
固定收益型,网上，手机，PAD，网点,,2016-03-31 10:00,招银进宝系列,,金葵花增利系列193号理财计划,,,招商银行,,2016-07-01,,
固定收益型,网上，手机，PAD，网点,,2016-04-06 10:00,招银进宝系列,,美元鼎鼎成金0289号理财计划,,2.90％,招商银行,,2018-04-12,,
浮动收益型,网上，手机，PAD，网点,,2016-04-07 10:00,焦点联动系列,,布伦特原油（SPGCBRP INDEX）表现联动（布伦特原油（SPGCBRP INDEX）向下触碰型）非保本理财计划,,,招商银行,,2016-06-29,,
固定收益型,网上，手机，PAD，网点,,2016-04-01 10:00,招银进宝系列,,鼎鼎成金14790号理财计划-大连分行销售,75,4.40％,招商银行,,2016-06-22,,
固定收益型,网上，手机，PAD，网点,,2016-04-07 10:00,招银进宝系列,,私人增利系列77号理财计划,,4.1%,招商银行,,2016-05-17,,
浮动收益型,网上，手机，PAD，网点,,2016-04-07 10:00,焦点联动系列,,布伦特原油（SPGCBRP INDEX）表现联动（布伦特原油（SPGCBRP INDEX）向上触碰型）非保本理财计划,,,招商银行,,2016-06-29,,
浮动收益型,网上，手机，PAD，网点,,2016-04-06 10:00,焦点联动系列,,股票指数表现联动（中证500指数向上触碰型）非保本理财计划,,,招商银行,,2016-08-10,,
固定收益型,网上，手机，PAD，网点,,2016-04-07 10:00,招银进宝系列,,鼎鼎成金960099号理财计划,,2.25%,招商银行,,2017-04-13,,
固定收益型,网上，手机，PAD，网点,,2016-04-06 10:00,招银进宝系列,,鼎鼎成金14488号理财计划-西安分行销售,35,4.15％,招商银行,,2016-05-18,,
固定收益型,网上，手机，PAD，网点,,2016-04-06 10:00,招银进宝系列,,鼎鼎成金14875号理财计划-杭州分行销售,86,4.40％,招商银行,,2016-07-08,,
固定收益型,网上，手机，PAD，网点,,2016-04-08 10:00,招银进宝系列,,金葵花增利系列196号理财计划,,,招商银行,,2016-07-08,,
固定收益型,网上，手机，PAD，网点,,2016-04-07 10:00,招银进宝系列,,金葵花增利系列194号理财计划,,,招商银行,,2016-06-07,,
固定收益型,网上，手机，PAD，网点,,2016-04-08 10:00,招银进宝系列,,金葵花增利系列198号理财计划,,,招商银行,,2016-10-14,,
固定收益型,网上，手机，PAD，网点,,2016-04-08 10:00,招银进宝系列,,鼎鼎成金14843号理财计划-成都分行销售,71,4.50％,招商银行,,2016-06-24,,
固定收益型,网上，手机，PAD，网点,,2016-04-08 10:00,招银进宝系列,,鼎鼎成金14876号理财计划-杭州分行销售,89,4.40％,招商银行,,2016-07-13,,
固定收益型,网上，手机，PAD，网点,,2016-04-08 10:00,招银进宝系列,,鼎鼎成金14716号理财计划-深圳分行销售,86,4.40％,招商银行,,2016-07-08,,
固定收益型,网上，手机，PAD，网点,,2016-04-08 10:00,招银进宝系列,,鼎鼎成金14761号理财计划-苏州分行销售,,4.40％,招商银行,,2016-07-04,,
固定收益型,网上，手机，PAD，网点,,2016-04-08 10:00,招银进宝系列,,私人增利系列78号理财计划,,4.15%,招商银行,,2016-06-08,,
固定收益型,网上，手机，PAD，网点,,2016-04-08 10:00,招银进宝系列,,鼎鼎成金14823号理财计划-广州分行销售,97,4.50％,招商银行,,2016-07-20,,
固定收益型,网上，手机，PAD，网点,,2016-04-08 10:00,招银进宝系列,,金葵花增利系列197号理财计划,,,招商银行,,2016-10-14,,
固定收益型,网上，手机，PAD，网点,,2016-04-11 10:00,招银进宝系列,,私人增利系列81号理财计划,,4.35%,招商银行,,2016-07-08,,
固定收益型,网上，手机，PAD，网点,,2016-04-11 10:00,招银进宝系列,,私人增利系列80号理财计划,,4.3%,招商银行,,2016-06-16,,
固定收益型,网上，手机，PAD，网点,,2016-04-08 10:00,招银进宝系列,,金葵花增利系列195号理财计划,,,招商银行,,2016-06-07,,
固定收益型,网上，手机，PAD，网点,,2016-04-11 10:00,招银进宝系列,,私人增利系列79号理财计划,,4.4%,招商银行,,2016-10-11,,
固定收益型,网上，手机，PAD，网点,,2016-04-11 10:00,招银进宝系列,,鼎鼎成金14598号理财计划-广州分行销售,,4.40％,招商银行,,2016-06-02,,
固定收益型,网上，手机，PAD，网点,,2016-03-14 10:00,招银进宝系列,,鼎鼎成金14283号理财计划-广州分行销售,,4.60％,招商银行,,2016-06-23,,
固定收益型,网上，手机，PAD，网点,,2016-03-24 10:00,招银进宝系列,,鼎鼎成金960097号理财计划,,2.25%,招商银行,,2017-03-30,,
浮动收益型,网上，手机，PAD，网点,,2016-03-15 10:00,A009 结构性存款系列,,挂钩黄金两层区间十二个月结构性存款,,,招商银行,,2017-03-17,,
浮动收益型,网上，手机，PAD，网点,,2016-03-15 10:00,A009 结构性存款系列,,挂钩黄金两层区间三个月结构性存款,,,招商银行,,2016-06-15,,
浮动收益型,网上，手机，PAD，网点,,2016-03-16 09:00,招银进宝系列,,日日盈分级理财计划,,,招商银行,,2025-09-23,,
固定收益型,网上，手机，PAD，网点,,2016-03-14 10:00,A股掘金系列,,睿远稳健十七期理财计划,,,招商银行,,2019-03-21,,
固定收益型,网上，手机，PAD，网点,,2016-03-16 10:00,招银进宝系列,,美元鼎鼎成金0286号理财计划,,2.90％,招商银行,,2018-03-22,,
固定收益型,网上，手机，PAD，网点,,2016-03-16 10:00,招银进宝系列,,美元鼎鼎成金0239号理财计划,,2.15％,招商银行,,2017-03-23,,
浮动收益型,网上，手机，PAD，网点,,2016-03-15 10:00,A009 结构性存款系列,,挂钩黄金两层区间六个月结构性存款,,,招商银行,,2016-09-19,,
固定收益型,网上，手机，PAD，网点,,2016-03-16 10:00,招银进宝系列,,鼎鼎成金14885号理财计划-南宁分行销售,103,4.40％,招商银行,,2016-07-05,,
固定收益型,网上，手机，PAD，网点,,2016-03-16 10:00,招银进宝系列,,港币鼎鼎成金0802号理财计划,,1.50％,招商银行,,2016-09-22,,
固定收益型,网上，手机，PAD，网点,,2016-03-16 10:00,招银进宝系列,,美元鼎鼎成金0265号理财计划,,1.60％,招商银行,,2016-09-22,,
固定收益型,网上，手机，PAD，网点,,2016-04-08 10:00,招银进宝系列,,鼎鼎成金14988号理财计划-长沙分行销售,,4.20％,招商银行,,2016-05-16,,
固定收益型,网上，手机，PAD，网点,,2016-03-16 10:00,招银进宝系列,,鼎鼎成金14747号理财计划-南宁分行销售,221,4.65％,招商银行,,2016-10-31,,
固定收益型,网上，手机，PAD，网点,,2016-03-16 10:00,招银进宝系列,,鼎鼎成金14354号理财计划-昆明分行销售,72,4.30％,招商银行,,2016-06-03,,
固定收益型,网上，手机，PAD，网点,,2016-03-16 10:00,招银进宝系列,,鼎鼎成金14738号理财计划-南宁、武汉分行销售,60,4.30％,招商银行,,2016-05-23,,
固定收益型,网上，手机，PAD，网点,,2016-03-17 10:00,招银进宝系列,,鼎鼎成金14932号理财计划-昆明、郑州分行销售,91,4.40％,招商银行,,2016-06-23,,
固定收益型,网上，手机，PAD，网点,,2016-03-17 10:00,招银进宝系列,,鼎鼎成金14676号理财计划-天津、深圳分行销售,131,4.40％,招商银行,,2016-08-02,,
固定收益型,网上，手机，PAD，网点,,2016-03-17 10:00,招银进宝系列,,鼎鼎成金14931号理财计划-昆明、郑州分行销售,113,4.40％,招商银行,,2016-07-15,,
固定收益型,网上，手机，PAD，网点,,2016-03-16 10:00,招银进宝系列,,鼎鼎成金14870号理财计划-杭州分行销售,77,4.40％,招商银行,,2016-06-08,,
固定收益型,网上，手机，PAD，网点,,2016-03-16 10:00,招银进宝系列,,金葵花增利系列178号理财计划,,,招商银行,,2016-05-10,,
固定收益型,网上，手机，PAD，网点,,2016-03-17 10:00,招银进宝系列,,鼎鼎成金14732号理财计划-长沙分行销售,93,4.30％,招商银行,,2016-06-22,,
固定收益型,网上，手机，PAD，网点,,2016-03-17 10:00,招银进宝系列,,鼎鼎成金14511号理财计划-苏州分行销售,173,4.50％,招商银行,,2016-09-14,,
固定收益型,网上，手机，PAD，网点,,2016-03-16 10:00,招银进宝系列,,澳元鼎鼎成金0602号理财计划,,2.75％,招商银行,,2016-09-22,,
固定收益型,网上，手机，PAD，网点,,2016-03-18 10:00,招银进宝系列,,私人增利系列65号理财计划,,,招商银行,,2016-05-26,,
固定收益型,网上，手机，PAD，网点,,2016-03-18 10:00,招银进宝系列,,鼎鼎成金14643号理财计划-南京分行销售,47,4.30％,招商银行,,2016-05-10,,
浮动收益型,网上，手机，PAD，网点,,2016-03-17 10:00,焦点联动系列,,股票指数表现联动（沪深300指数期末看涨价差型）非保本理财计划,,,招商银行,,2016-12-15,,
固定收益型,网上，手机，PAD，网点,,2016-03-18 10:00,招银进宝系列,,私人增利系列66号理财计划,,,招商银行,,2016-06-23,,
固定收益型,网上，手机，PAD，网点,,2016-03-18 10:00,招银进宝系列,,私人增利系列64号理财计划,,,招商银行,,2016-05-19,,
固定收益型,网上，手机，PAD，网点,,2016-03-18 10:00,招银进宝系列,,鼎鼎成金14540号理财计划-杭州分行销售,82,4.40％,招商银行,,2016-06-15,,
固定收益型,网上，手机，PAD，网点,,2016-03-18 10:00,招银进宝系列,,鼎鼎成金14595号理财计划-广州分行销售,105,4.60％,招商银行,,2016-07-08,,
固定收益型,网上，手机，PAD，网点,,2016-03-18 10:00,招银进宝系列,,金葵花增利系列182号理财计划,,,招商银行,,2016-06-24,,
浮动收益型,网上，手机，PAD，网点,,2016-03-22 10:00,A009 结构性存款系列,,挂钩黄金两层区间十二个月结构性存款,,,招商银行,,2017-03-24,,
固定收益型,网上，手机，PAD，网点,,2016-03-18 10:00,招银进宝系列,,鼎鼎成金13990号理财计划-南昌分行销售,85,4.5％,招商银行,,2016-06-17,,
浮动收益型,网上，手机，PAD，网点,,2016-03-22 10:00,A009 结构性存款系列,,挂钩黄金两层区间六个月结构性存款,,,招商银行,,2016-09-22,,
浮动收益型,网上，手机，PAD，网点,,2016-03-22 10:00,A009 结构性存款系列,,挂钩黄金两层区间三个月结构性存款,,,招商银行,,2016-06-22,,
固定收益型,网上，手机，PAD，网点,,2016-03-18 10:00,招银进宝系列,,金葵花增利系列179号理财计划,,,招商银行,,2016-06-03,,
固定收益型,网点,,2016-03-22 10:00,招银进宝系列,,债券积极套利44号理财计划,,,招商银行,,2017-03-25,,
固定收益型,网上，手机，PAD，网点,,2016-03-18 10:00,招银进宝系列,,金葵花增利系列181号理财计划,,,招商银行,,2016-06-17,,
固定收益型,网上，手机，PAD，网点,,2016-03-23 10:00,招银进宝系列,,美元鼎鼎成金0301号理财计划,,2.15％,招商银行,,2017-03-30,,
固定收益型,网上，手机，PAD，网点,,2016-03-23 10:00,招银进宝系列,,美元鼎鼎成金0287号理财计划,,2.90％,招商银行,,2018-03-29,,
固定收益型,网上，手机，PAD，网点,,2016-03-23 10:00,招银进宝系列,,美元鼎鼎成金0266号理财计划,,1.60％,招商银行,,2016-09-29,,
固定收益型,网上，手机，PAD，网点,,2016-03-23 10:00,招银进宝系列,,鼎鼎成金14706号理财计划-上海分行销售,147,4.30％,招商银行,,2016-08-23,,
浮动收益型,网上，手机，PAD，网点,,2016-02-25 10:00,焦点联动系列,,股票指数表现联动（沪深300指数向上触碰型）非保本理财计划,,,招商银行,,2016-05-26,,
固定收益型,网上，手机，PAD，网点,,2016-02-26 10:00,招银进宝系列,,私人增利系列50号理财计划,,,招商银行,,2016-05-26,,
固定收益型,网上，手机，PAD，网点,,2016-03-18 00:00,招银进宝系列,,鼎鼎成金14733号理财计划-长沙分行销售,91,4.30％,招商银行,,2016-06-24,,
固定收益型,网上，手机，PAD，网点,,2016-02-26 10:00,招银进宝系列,,私人增利系列52号理财计划,,,招商银行,,2016-06-02,,
固定收益型,网上，手机，PAD，网点,,2016-02-26 10:00,招银进宝系列,,鼎鼎成金14539号理财计划-杭州分行销售,70,4.40％,招商银行,,2016-05-13,,
固定收益型,网上，手机，PAD，网点,,2016-02-26 10:00,招银进宝系列,,金葵花增利系列168号理财计划,,,招商银行,,2016-05-27,,
固定收益型,网上，手机，PAD，网点,,2016-02-29 10:00,招银进宝系列,,鼎鼎成金14547号理财计划-长春分行销售,184,4.70％,招商银行,,2016-09-07,,
固定收益型,网上，手机，PAD，网点,,2016-02-29 10:00,招银进宝系列,,鼎鼎成金14508号理财计划-苏州分行销售,115,4.50％,招商银行,,2016-07-01,,
固定收益型,网上，手机，PAD，网点,,2016-02-29 10:00,招银进宝系列,,鼎鼎成金14546号理财计划-大连分行销售,107,4.60％,招商银行,,2016-06-22,,
浮动收益型,网上，手机，网点,,2016-03-01 10:00,A009 结构性存款系列,,挂钩黄金两层区间十二个月结构性存款,,,招商银行,,2017-03-03,,
浮动收益型,网上，手机，PAD，网点,,2016-03-01 10:00,A009 结构性存款系列,,挂钩黄金两层区间六个月结构性存款,,,招商银行,,2016-09-01,,
浮动收益型,网上，手机，PAD，网点,,2016-03-01 10:00,A009 结构性存款系列,,挂钩黄金两层区间三个月结构性存款,,,招商银行,,2016-06-02,,
固定收益型,网上，手机，PAD，网点,,2016-03-01 10:00,招银进宝系列,,鼎鼎成金14727号理财计划-长沙分行销售,77,4.30％,招商银行,,2016-05-24,,
固定收益型,网上，手机，PAD，网点,,2016-03-01 10:00,招银进宝系列,,鼎鼎成金14740号理财计划-南宁分行销售,111,4.50％,招商银行,,2016-06-27,,
固定收益型,网上，手机，PAD，网点,,2016-02-29 10:00,招银进宝系列,,鼎鼎成金13984号理财计划-西安分行销售,96,4.30％,招商银行,,2016-06-07,,
固定收益型,网上，手机，PAD，网点,,2016-03-01 10:00,招银进宝系列,,鼎鼎成金14628号理财计划-南宁分行销售,185,4.65％,招商银行,,2016-09-09,,
固定收益型,网上，手机，PAD，网点,,2016-03-01 10:00,招银进宝系列,,鼎鼎成金14671号理财计划-天津、深圳分行销售,66,4.30％,招商银行,,2016-05-13,,
固定收益型,网上，手机，PAD，网点,,2016-03-02 10:00,招银进宝系列,,港币鼎鼎成金0800号理财计划,,1.50％,招商银行,,2016-09-08,,
固定收益型,网上，手机，PAD，网点,,2016-03-02 10:00,招银进宝系列,,澳元鼎鼎成金0600号理财计划,,2.75％,招商银行,,2016-09-08,,
固定收益型,网上，手机，PAD，网点,,2016-03-02 10:00,招银进宝系列,,鼎鼎成金14690号理财计划-杭州分行销售,70,4.30％,招商银行,,2016-05-18,,
固定收益型,网上，手机，PAD，网点,,2016-03-02 10:00,招银进宝系列,,鼎鼎成金13983号理财计划-武汉分行销售,97,4.60％,招商银行,,2016-06-15,,
固定收益型,网上，手机，PAD，网点,,2016-03-02 10:00,招银进宝系列,,鼎鼎成金13985号理财计划-西安分行销售,98,4.30％,招商银行,,2016-06-15,,
固定收益型,网上，手机，PAD，网点,,2016-03-02 10:00,招银进宝系列,,鼎鼎成金14282号理财计划-广州分行销售,162,4.70％,招商银行,,2016-08-17,,
固定收益型,网上，手机，PAD，网点,,2016-03-02 10:00,招银进宝系列,,美元鼎鼎成金0236号理财计划,,2.15％,招商银行,,2017-03-09,,
固定收益型,网上，手机，PAD，网点,,2016-03-03 10:00,招银进宝系列,,鼎鼎成金960094号理财计划,,2.25%,招商银行,,2017-03-09,,
浮动收益型,网上，手机，PAD，网点,,2016-03-03 10:00,焦点联动系列,,股票指数表现联动（沪深300指数向上触碰型）非保本理财计划,,,招商银行,,2016-06-01,,
固定收益型,手机，PAD，网点,,2016-03-02 10:00,招银进宝系列,,金葵花增利系列170号理财计划,,,招商银行,,2016-05-10,,
浮动收益型,网上，手机，PAD，网点,,2016-03-03 10:00,焦点联动系列,,布伦特原油（SPGCBRP INDEX）表现联动（布伦特原油（SPGCBRP INDEX）向上触碰型）非保本理财计划,,,招商银行,,2016-05-27,,
固定收益型,网上，手机，PAD，网点,,2016-03-04 10:00,招银进宝系列,,鼎鼎成金14741号理财计划-南宁分行销售,,4.50％,招商银行,,2016-06-27,,
固定收益型,网上，手机，PAD，网点,,2016-03-04 10:00,招银进宝系列,,鼎鼎成金14675号理财计划-天津、深圳分行销售,,4.50％,招商银行,,2016-08-02,,
固定收益型,网上，手机，PAD，网点,,2016-03-04 10:00,招银进宝系列,,鼎鼎成金14691号理财计划-杭州分行销售,70,4.30％,招商银行,,2016-05-20,,
固定收益型,网上，手机，PAD，网点,,2016-03-04 10:00,招银进宝系列,,私人增利系列57号理财计划,,,招商银行,,2016-06-02,,
浮动收益型,网上，手机，PAD，网点,,2016-03-03 10:00,焦点联动系列,,布伦特原油（SPGCBRP INDEX）表现联动（布伦特原油（SPGCBRP INDEX）向下触碰型）非保本理财计划,,,招商银行,,2016-05-27,,
固定收益型,网上，手机，PAD，网点,,2016-03-04 10:00,招银进宝系列,,鼎鼎成金14373号理财计划-杭州分行销售,161,4.75％,招商银行,,2016-08-19,,
固定收益型,网上，手机，PAD，网点,,2016-02-01 10:00,招银进宝系列,,鼎鼎成金14571号理财计划-长沙分行销售,117,4.70％,招商银行,,2016-06-02,,
浮动收益型,网上，手机，PAD，网点,,2016-03-08 10:00,A009 结构性存款系列,,挂钩黄金两层区间十二个月结构性存款,,,招商银行,,2017-03-10,,
固定收益型,网上，手机，PAD，网点,,2016-03-04 10:00,招银进宝系列,,鼎鼎成金14355号理财计划-昆明分行销售,,4.50％,招商银行,,2016-07-08,,
固定收益型,网上，手机，PAD，网点,,2016-03-04 10:00,招银进宝系列,,睿享13期11号理财计划-广州分行销售,97,4.70%,招商银行,,2016-06-16,,
固定收益型,网上，手机，PAD，网点,,2016-03-04 10:00,招银进宝系列,,金葵花增利系列173号理财计划,,,招商银行,,2016-06-03,,
固定收益型,网上，手机，PAD，网点,,2016-02-01 10:00,招银进宝系列,,鼎鼎成金14525号理财计划-南宁分行销售,194,4.65％,招商银行,,2016-08-16,,
固定收益型,网上，手机，PAD，网点,,2016-02-01 10:00,招银进宝系列,,鼎鼎成金14440号理财计划-天津、深圳分行销售,121,4.50％,招商银行,,2016-06-16,,
固定收益型,网上，手机，PAD，网点,,2016-03-04 10:00,招银进宝系列,,私人增利系列55号理财计划,,,招商银行,,2016-05-12,,
固定收益型,网上，手机，PAD，网点,,2016-02-01 10:00,招银进宝系列,,鼎鼎成金14522号理财计划-南宁分行销售,109,4.50％,招商银行,,2016-05-23,,
固定收益型,网上，手机，PAD，网点,,2016-02-01 10:00,招银进宝系列,,鼎鼎成金14275号理财计划-广州分行销售,102,4.60％,招商银行,,2016-05-17,,
浮动收益型,网上，手机，PAD，网点,,2016-02-02 10:00,A009 结构性存款系列,,挂钩黄金两层区间六个月结构性存款,,,招商银行,,2016-08-04,,
浮动收益型,网上，手机，PAD,,2016-02-02 10:00,焦点联动系列,,布伦特原油（SPGCBRP INDEX）表现联动（布伦特原油（SPGCBRP INDEX）期末看涨价差型）非保本理财计划,,,招商银行,,2016-10-28,,
固定收益型,网上，手机，PAD，网点,,2016-02-01 10:00,招银进宝系列,,鼎鼎成金14177号理财计划-大连分行销售,125,4.65％,招商银行,,2016-06-07,,
固定收益型,网上，手机，PAD，网点,,2016-03-04 10:00,招银进宝系列,,鼎鼎成金14629号理财计划-南宁分行销售,,4.65％,招商银行,,2016-09-14,,
浮动收益型,网上，手机，PAD，网点,,2016-02-04 09:00,招银进宝系列,,天添金进取型理财计划,,,招商银行,,2025-04-17,,
浮动收益型,网上，手机，PAD，网点,,2016-02-02 10:00,A009 结构性存款系列,,挂钩黄金两层区间十二个月结构性存款,,,招商银行,,2017-02-03,,
固定收益型,网上，手机，PAD，网点,,2016-02-04 10:00,招银进宝系列,,私人增利系列40号理财计划,,,招商银行,,2016-05-17,,
固定收益型,网上，手机，PAD，网点,,2016-02-04 10:00,招银进宝系列,,鼎鼎成金14635号理财计划-上海分行销售,155,4.50％,招商银行,,2016-07-19,,
固定收益型,网上，手机，PAD，网点,,2016-02-04 10:00,招银进宝系列,,鼎鼎成金14618号理财计划-南宁分行销售,97,4.50％,招商银行,,2016-05-23,,
固定收益型,网上，手机，PAD，网点,,2016-02-04 10:00,招银进宝系列,,鼎鼎成金14526号理财计划-南宁分行销售,189,4.65％,招商银行,,2016-08-23,,
固定收益型,网上，手机，PAD，网点,,2016-02-05 10:00,招银进宝系列,,鼎鼎成金14506号理财计划-苏州分行销售,180,4.80％,招商银行,,2016-08-16,,
固定收益型,网上，手机，PAD，网点,,2016-02-05 10:00,招银进宝系列,,鼎鼎成金14505号理财计划-苏州分行销售,180,5.00％,招商银行,,2016-08-16,,
固定收益型,网上，手机，PAD，网点,,2016-02-04 10:00,招银进宝系列,,鼎鼎成金14407号理财计划-上海分行销售,185,4.65％,招商银行,,2016-08-19,,
固定收益型,网上，手机，PAD，网点,,2016-02-06 10:00,招银进宝系列,,鼎鼎成金14572号理财计划-长沙分行销售,93,4.30％,招商银行,,2016-05-19,,
固定收益型,网上，手机，PAD，网点,,2016-02-05 10:00,招银进宝系列,,鼎鼎成金14507号理财计划-苏州分行销售,180,4.65％,招商银行,,2016-08-16,,
固定收益型,网上，手机，PAD，网点,,2016-02-05 10:00,招银进宝系列,,金葵花增利系列156号理财计划,,,招商银行,,2016-05-20,,
固定收益型,网上，手机，PAD，网点,,2016-02-14 10:00,招银进宝系列,,鼎鼎成金14542号理财计划-杭州分行销售,193,4.65％,招商银行,,2016-08-30,,
固定收益型,网上，手机，PAD，网点,,2016-02-14 10:00,招银进宝系列,,鼎鼎成金14670号理财计划-天津、深圳分行销售,81,4.30％,招商银行,,2016-05-09,,
固定收益型,网上，手机，PAD，网点,,2016-02-05 10:00,招银进宝系列,,金葵花增利系列158号理财计划,,,招商银行,,2016-05-20,,
固定收益型,网上，手机，PAD，网点,,2016-02-15 10:00,招银进宝系列,,鼎鼎成金960091号理财计划,,2.4%,招商银行,,2017-02-16,,
固定收益型,网上，手机，PAD，网点,,2016-02-15 10:00,招银进宝系列,,美元鼎鼎成金0281号理财计划,,3.00％,招商银行,,2018-02-15,,
固定收益型,网上，手机，PAD，网点,,2016-02-15 10:00,招银进宝系列,,港币鼎鼎成金0818号理财计划,,1.50％,招商银行,,2016-08-18,,
固定收益型,网上，手机，PAD，网点,,2016-02-15 10:00,招银进宝系列,,美元鼎鼎成金0261号理财计划,,1.75％,招商银行,,2016-08-18,,
固定收益型,网上，手机，PAD，网点,,2016-02-15 10:00,招银进宝系列,,美元鼎鼎成金0233号理财计划,,2.30％,招商银行,,2017-02-16,,
固定收益型,网上，手机，PAD，网点,,2016-02-15 10:00,招银进宝系列,,鼎鼎成金14619号理财计划-南宁分行销售,94,4.50％,招商银行,,2016-05-23,,
浮动收益型,网上，手机，PAD，网点,,2016-02-16 10:00,A009 结构性存款系列,,挂钩黄金两层区间十二个月结构性存款,,,招商银行,,2017-02-17,,
浮动收益型,网上，手机，PAD，网点,,2016-02-16 10:00,A009 结构性存款系列,,挂钩黄金两层区间六个月结构性存款,,,招商银行,,2016-08-18,,
浮动收益型,网上，手机，PAD，网点,,2016-02-16 10:00,A009 结构性存款系列,,挂钩黄金两层区间三个月结构性存款,,,招商银行,,2016-05-19,,
固定收益型,网上，手机，PAD，网点,,2016-02-15 10:00,招银进宝系列,,澳元鼎鼎成金0618号理财计划,,2.75％,招商银行,,2016-08-18,,
固定收益型,网上，手机，PAD，网点,,2016-02-15 10:00,招银进宝系列,,鼎鼎成金14527号理财计划-南宁分行销售,192,4.65％,招商银行,,2016-08-29,,
固定收益型,网上，手机，PAD，网点,,2016-02-17 10:00,招银进宝系列,,鼎鼎成金14392号理财计划-太原分行销售,112,4.50％,招商银行,,2016-06-15,,
固定收益型,网上，手机，PAD，网点,,2016-02-18 10:00,招银进宝系列,,鼎鼎成金14620号理财计划-南宁分行销售,101,4.50％,招商银行,,2016-06-03,,
浮动收益型,网上，手机，PAD，网点,,2016-02-18 10:00,焦点联动系列,,布伦特原油（SPGCBRP INDEX）表现联动（布伦特原油（SPGCBRP INDEX）向上触碰型）非保本理财计划,,,招商银行,,2016-05-19,,
