fxdj,gmbz,cplx,xsjz,xsqs,tzfw,cpmc,tzqx,sylx,fxyh,fxdq,yqsy,kfsh,qsje
固定收益型,网上，手机，PAD，网点,,2016-05-17 10:00,招银进宝系列,,鼎鼎成金14765号理财计划-苏州分行销售,49,4.20％,招商银行,,2016-07-12,,
浮动收益型,网上，手机，PAD，网点,,2016-05-17 10:00,焦点联动系列,,股票指数表现联动（沪深300指数向上触碰型）非保本理财计划,,,招商银行,,2016-09-07,,
固定收益型,网上，手机，PAD，网点,,2016-05-17 10:00,招银进宝系列,,鼎鼎成金14769号理财计划-苏州分行销售,171,4.40％,招商银行,,2016-11-11,,
固定收益型,网上，手机，PAD，网点,,2016-05-17 10:00,招银进宝系列,,金葵花增利系列200012号理财计划-深圳分行销售,81,4.20%,招商银行,,2016-08-12,,
固定收益型,网上，手机，PAD，网点,,2016-05-17 10:00,招银进宝系列,,金葵花增利系列200018号理财计划-上海分行销售,181,4.25%,招商银行,,2016-11-22,,
浮动收益型,网上，手机，PAD，网点,,2016-05-17 10:00,A009 结构性存款系列,,挂钩黄金两层区间六个月结构性存款,,,招商银行,,2016-11-17,,
浮动收益型,网上，手机，PAD，网点,,2016-05-17 10:00,A009 结构性存款系列,,挂钩黄金两层区间三个月结构性存款,,,招商银行,,2016-08-17,,
固定收益型,网上，手机，PAD，网点,,2016-05-31 10:00,招银进宝系列,,鼎鼎成金14771号理财计划-苏州分行销售,,4.00％,招商银行,,2016-10-13,,
浮动收益型,网上，手机，PAD，网点,,2016-05-17 10:00,A009 结构性存款系列,,挂钩黄金两层区间十二个月结构性存款,,,招商银行,,2017-05-19,,
固定收益型,网上，手机，PAD，网点,,2016-05-17 10:00,招银进宝系列,,鼎鼎成金16029号理财计划-南京、重庆分行销售,34,4.20％,招商银行,,2016-06-23,,
固定收益型,网上，手机，PAD，网点,,2016-05-18 10:00,招银进宝系列,,美元鼎鼎成金0385号理财计划,,2.40％,招商银行,,2017-11-24,,
固定收益型,网上，手机，PAD，网点,,2016-05-18 10:00,招银进宝系列,,美元鼎鼎成金0415号理财计划,,,招商银行,,2017-05-25,,
固定收益型,网上，手机，PAD，网点,,2016-05-18 10:00,招银进宝系列,,金葵花增利系列238号理财计划,,,招商银行,,2016-07-26,,
固定收益型,网上，手机，PAD，网点,,2016-05-18 10:00,招银进宝系列,,金葵花增利系列200013号理财计划-深圳分行销售,81,4.25%,招商银行,,2016-08-12,,
固定收益型,网上，手机，PAD，网点,,2016-05-18 10:00,招银进宝系列,,澳元鼎鼎成金0622号理财计划,,2.65％,招商银行,,2016-11-24,,
固定收益型,网上，手机，PAD，网点,,2016-05-18 10:00,焦点联动系列,,基金表现联动（诺迪亚稳定回报基金（NABSRBE LX）Vanilla Call ）非保本理财计划,,,招商银行,,2017-05-26,,
固定收益型,网上，手机，PAD，网点,,2016-05-19 10:00,招银进宝系列,,金葵花增利系列200041号理财计划-武汉分行销售,90,4.20%,招商银行,,2016-08-24,,
固定收益型,网上，手机，PAD，网点,,2016-05-19 10:00,招银进宝系列,,金葵花增利系列200088号理财计划-长沙分行销售,55,4.00%,招商银行,,2016-07-19,,
固定收益型,网上，手机，PAD，网点,,2016-05-18 10:00,招银进宝系列,,金葵花增利系列239号理财计划,,,招商银行,,2016-08-02,,
固定收益型,网上，手机，PAD，网点,,2016-05-19 10:00,招银进宝系列,,私人增利系列105号理财计划,,4.1%,招商银行,,2016-08-17,,
固定收益型,网上，手机，PAD，网点,,2016-05-19 10:00,招银进宝系列,,鼎鼎成金960105号理财计划,,2.15%,招商银行,,2017-05-25,,
固定收益型,网上，手机，PAD，网点,,2016-05-19 10:00,招银进宝系列,,私人增利系列104号理财计划,,4.05%,招商银行,,2016-07-27,,
固定收益型,网上，手机，PAD，网点,,2016-05-19 10:00,招银进宝系列,,私人增利系列103号理财计划,,4%,招商银行,,2016-07-06,,
固定收益型,网上，手机，PAD，网点,,2016-05-18 10:00,招银进宝系列,,金葵花增利系列240号理财计划,,,招商银行,,2016-08-16,,
固定收益型,网上，手机，PAD，网点,,2016-05-20 10:00,招银进宝系列,,私人增利系列106号理财计划,,4.2%,招商银行,,2016-11-10,,
固定收益型,网上，手机，PAD，网点,,2016-05-20 10:00,招银进宝系列,,私人增利系列107号理财计划,,4.15%,招商银行,,2016-08-25,,
固定收益型,网上，手机，PAD，网点,,2016-05-20 10:00,招银进宝系列,,鼎鼎成金14904号理财计划-广州分行销售,67,4.30％,招商银行,,2016-08-02,,
固定收益型,网上，手机，PAD，网点,,2016-05-20 10:00,招银进宝系列,,鼎鼎成金14908号理财计划-广州分行销售,115,4.40％,招商银行,,2016-09-19,,
固定收益型,网上，手机，PAD，网点,,2016-05-20 10:00,招银进宝系列,,鼎鼎成金14923号理财计划-昆明分行销售,56,4.20％,招商银行,,2016-07-22,,
固定收益型,网上，手机，PAD，网点,,2016-05-20 10:00,招银进宝系列,,鼎鼎成金14878号理财计划-南昌分行销售,50,4.1％,招商银行,,2016-07-14,,
固定收益型,网上，手机，PAD，网点,,2016-05-20 10:00,招银进宝系列,,金葵花增利系列200014号理财计划-深圳分行销售,37,4.15%,招商银行,,2016-07-01,,
固定收益型,网上，手机，PAD，网点,,2016-05-20 10:00,招银进宝系列,,金葵花增利系列241号理财计划,,,招商银行,,2016-07-29,,
固定收益型,网上，手机，PAD，网点,,2016-05-20 10:00,招银进宝系列,,金葵花增利系列200009号理财计划-广州分行销售,189,4.60%,招商银行,,2016-12-02,,
浮动收益型,网上，手机，PAD，网点,,2016-05-24 10:00,焦点联动系列,,股票指数表现联动（沪深300指数向上触碰型）非保本理财计划,,,招商银行,,2016-09-22,,
固定收益型,网上，手机，PAD，网点,,2016-05-20 10:00,招银进宝系列,,金葵花增利系列244号理财计划,,,招商银行,,2016-11-11,,
固定收益型,网上，手机，PAD，网点,,2016-05-24 10:00,招银进宝系列,,金葵花增利系列200020号理财计划-南京分行销售,56,4.2,招商银行,,2016-07-22,,
固定收益型,网上，手机，PAD，网点,,2016-05-24 10:00,招银进宝系列,,金葵花增利系列200044号理财计划-武汉分行销售,,4.20%,招商银行,,2016-09-01,,
固定收益型,网上，手机，PAD，网点,,2016-05-20 10:00,招银进宝系列,,金葵花增利系列200021号理财计划-南京分行销售,70,4.30%,招商银行,,2016-08-05,,
浮动收益型,网上，手机，PAD，网点,,2016-05-24 10:00,A009 结构性存款系列,,挂钩黄金两层区间六个月结构性存款,,,招商银行,,2016-11-24,,
固定收益型,网上，手机，PAD，网点,,2016-05-23 10:00,招银进宝系列,,金葵花增利系列200019号理财计划-上海分行销售,168,4.25%,招商银行,,2016-11-15,,
浮动收益型,网上，手机，PAD，网点,,2016-05-24 10:00,A009 结构性存款系列,,挂钩黄金两层区间三个月结构性存款,,,招商银行,,2016-08-24,,
浮动收益型,网上，手机，PAD，网点,,2016-05-24 10:00,焦点联动系列,,黄金（AU9999）表现联动（黄金（AU9999）期间双向触碰型）非保本理财计划,,,招商银行,,2016-09-23,,
浮动收益型,网上，手机，PAD，网点,,2016-05-24 10:00,A009 结构性存款系列,,挂钩黄金两层区间十二个月结构性存款,,,招商银行,,2017-05-26,,
固定收益型,网上，手机，PAD，网点,,2016-05-20 10:00,招银进宝系列,,金葵花增利系列242号理财计划,,,招商银行,,2016-08-12,,
固定收益型,网上，手机，PAD，网点,,2016-05-25 10:00,招银进宝系列,,美元鼎鼎成金0416号理财计划,,2.05％,招商银行,,2017-06-01,,
固定收益型,网上，手机，PAD，网点,,2016-05-24 10:00,招银进宝系列,,鼎鼎成金901764号理财计划-哈尔滨分行销售,,4.3%,招商银行,,2016-10-31,,
固定收益型,网上，手机，PAD，网点,,2016-05-25 10:00,招银进宝系列,,美元鼎鼎成金0386号理财计划,,2.40％,招商银行,,2017-11-30,,
