fxdj,gmbz,cplx,xsjz,xsqs,tzfw,cpmc,tzqx,sylx,fxyh,fxdq,yqsy,kfsh,qsje
低风险,人民币,,,3.9 07:00,,乾元-共享型 2016-29理财产品,93天,非保本,建设银行,全国,3.50%,不可赎回,5万
中等风险,人民币,,,3.15 07:00,,乾元-私享型2016-27理财产品,49天,非保本,建设银行,全国,3.40%,不可赎回,50万
低风险,人民币,,,3.3 07:00,,乾元-共享型2016-27理财产品,113天,非保本,建设银行,全国,3.80%,不可赎回,5万
低风险,人民币,,,3.16 07:00,,乾元-共享型 2016-31理财产品,65天,非保本,建设银行,全国,3.30%,不可赎回,5万
中等风险,人民币,,,3.10 07:00,,乾元-私享型2016-26理财产品,120天,非保本,建设银行,全国,3.70%,不可赎回,50万
低风险,人民币,,,3.10 07:00,,乾元-共享型2016-30理财产品,146天,非保本,建设银行,全国,3.70%,不可赎回,5万
低风险,人民币,,,3.17 07:00,,乾元-共享型2016-32理财产品,139天,非保本,建设银行,全国,3.60%,不可赎回,5万
低风险,人民币,,,3.17 07:00,,乾元-共享型 2016-33理财产品,120天,非保本,建设银行,全国,3.50%,不可赎回,5万
低风险,人民币,,,3.22 07:00,,乾元-共享型2016-34理财产品,52天,非保本,建设银行,全国,3.40%,不可赎回,5万
低风险,人民币,,,2.18 07:00,,乾元-共享型2016-21理财产品,120天,非保本,建设银行,全国,3.90%,不可赎回,5万
低风险,人民币,,,1.27 07:00,,乾元-共享型 2016-13理财产品,107天,非保本,建设银行,全国,3.65%,不可赎回,5万
低风险,人民币,,,2.4 07:00,,乾元-共享型2016-17理财产品,124天,非保本,建设银行,全国,3.75%,不可赎回,5万
中等风险,人民币,,,1.28 07:00,,乾元-私享型2016-12理财产品,116天,非保本,建设银行,全国,3.85%,不可赎回,50万
低风险,人民币,,,1.28 07:00,,乾元-共享型 2016-14理财产品,188天,非保本,建设银行,全国,3.90%,不可赎回,5万
中等风险,人民币,,,2.4 07:00,,乾元-私享型2016-15理财产品,93天,非保本,建设银行,全国,3.75%,不可赎回,50万
低风险,人民币,,,2.17 07:00,,乾元-共享型 2016-20理财产品,76天,非保本,建设银行,全国,3.55%,不可赎回,5万
中等风险,人民币,,,2.24 07:00,,乾元-私享型2016-19理财产品,69天,非保本,建设银行,全国,3.65%,不可赎回,50万
中等风险,人民币,,,2.18 07:00,,乾元-私享型2016-18理财产品,146天,非保本,建设银行,全国,3.90%,不可赎回,50万
低风险,人民币,,,2.23 07:00,,乾元-共享型2016-23理财产品,91天,非保本,建设银行,全国,3.80%,不可赎回,5万
低风险,人民币,,,2.2 07:00,,乾元-共享型 2016-15理财产品,150天,非保本,建设银行,全国,3.80%,不可赎回,5万
